2458378.5258100000 -9.55 3.00 FEROS
2458378.5971100000 -4.65 3.00 FEROS
2458378.6591099999 -1.25 3.00 FEROS
2458378.7107500001 -0.65 3.00 FEROS
2458378.8169800001 -5.85 3.00 FEROS
2458379.4929499999 0.45 3.00 FEROS
2458379.5630800002 -2.35 3.00 FEROS
2458379.5997299999 -0.05 3.00 FEROS
2458379.6600400000 -0.75 3.00 FEROS
2458379.6975799999 -3.35 3.00 FEROS
2458379.7437000000 1.25 3.00 FEROS
2458379.7922700001 7.65 3.00 FEROS
2458380.7503000000 17.35 3.00 FEROS
2458380.7888400001 13.35 3.00 FEROS
2458380.8722700002 15.35 3.00 FEROS
2458381.4916400001 3.85 3.00 FEROS
2458381.5243600002 15.85 3.00 FEROS
2458381.5759000001 15.35 3.00 FEROS
2458381.6190100000 12.35 3.00 FEROS
2458381.6590100001 24.65 3.00 FEROS
2458381.7895599999 5.05 3.00 FEROS
2458382.5151600000 -3.25 3.00 FEROS
2458382.5552200000 0.35 3.00 FEROS
2458382.5959200002 5.55 3.00 FEROS
2458382.6395899998 8.35 3.00 FEROS
2458382.6857500002 1.15 3.00 FEROS
2458382.7234499999 -2.15 3.00 FEROS
2458382.7878700001 1.25 3.00 FEROS
2458382.8432100001 -6.05 3.00 FEROS
2458383.5222399998 -6.45 3.00 FEROS
2458383.5709199999 -1.55 3.00 FEROS
2458383.6096999999 -2.95 3.00 FEROS
2458383.6405099998 -5.25 3.00 FEROS
2458383.6764500001 -3.75 3.00 FEROS
2458383.7124500000 -2.55 3.00 FEROS
2458383.7335600001 -0.45 3.00 FEROS
2458383.7620199998 2.25 3.00 FEROS
2458383.7970799999 0.15 3.00 FEROS
2458383.8275600001 -6.35 3.00 FEROS
2458384.5178899998 -6.05 3.00 FEROS
2458384.5689599998 0.45 3.00 FEROS
2458384.6159500000 -2.05 3.00 FEROS
2458384.6849600002 -1.75 3.00 FEROS
2458384.7288299999 2.55 3.00 FEROS
2458384.7711399999 5.05 3.00 FEROS
2458384.8201899999 1.05 3.00 FEROS
2458385.5393300001 4.45 3.00 FEROS
2458385.5852299999 8.05 3.00 FEROS
2458385.6248200000 8.45 3.00 FEROS
2458385.6718400000 11.45 3.00 FEROS
2458385.7104000002 9.35 3.00 FEROS
2458385.7469700002 11.85 3.00 FEROS
2458385.7946400000 13.85 3.00 FEROS
2458385.8305700002 16.05 3.00 FEROS
2458399.5149200000 -1.05 3.00 FEROS
2458399.5574500002 13.45 3.00 FEROS
2458401.7101099999 -2.05 3.00 FEROS
2458404.5017100000 3.25 3.00 FEROS
2458404.5692900000 4.45 3.00 FEROS
2458404.6410699999 9.15 3.00 FEROS
2458404.8140799999 18.35 3.00 FEROS
2458406.4970200001 -3.95 3.00 FEROS
2458406.5648699999 -5.15 3.00 FEROS
2458406.6169900000 -7.75 3.00 FEROS
2458406.6990999999 -5.35 3.00 FEROS
