,dvdt,gamma_k,gamma_j,gamma_a,k1
count,40000.0,40000.0,40000.0,40000.0,40000.0
mean,-0.0270210886405,-8.65335516186e+53,-0.560527046451,3.44057875756e+54,6.08328318207
std,0.00875861133302,1.77746736066e+56,1.69527548139,7.0670926688e+56,2.37444959623
min,-0.0573498594906,-5.80923354348e+57,-6.70888756716,-2.68540967025e+58,-1.40360232106
15.9%,-0.0359118071976,-9.22119892482e+47,-2.32387310506,-3.71980821627e+47,3.58547216505
50%,-0.0270598105443,-1.42752888578e+25,-0.55092868353,4.07873619671e+25,6.12626889881
84.1%,-0.0180394364599,9.35543321681e+46,1.19468990484,3.66635632666e+48,8.55530416722
max,0.0036094904143,6.75415673208e+57,4.70604004929,2.30970579144e+58,14.1430678781
