,gamma_k,gamma_j,gamma_a,k1
count,40000.0,40000.0,40000.0,40000.0
mean,3.53240440959e+86,-4.13587727594,1.00156252526e+87,3.83308031323
std,2.40429230455e+88,0.824525845273,6.81694210079e+88,1.26731492489
min,-1.13092512429e+90,-6.85860344675,-3.20650086654e+90,-0.444486464115
15.9%,-1.41086061296e+75,-5.01780890954,-4.00054470464e+75,2.50022219323
50%,4.25239056159e+45,-4.12801191916,1.20572157282e+46,3.80575601818
84.1%,3.55341638611e+75,-3.27010950467,1.00744237024e+76,5.17707559989
max,1.10195129857e+90,-1.5897992605,3.1244086339e+90,7.93991229376
