,w3,gamma_k,gamma_j,gamma_a,k3,k2,k1,e3
count,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
mean,-1.57286318076e+50,7.44075847565e+50,-4.88332603612,-3.56679346495e+49,-3.28519306667e+49,-3.37407992503,13.597276575,2.16447192164e+49
std,1.27253142288e+52,6.01891104125e+52,1.31443989713,2.88570501018e+51,2.65303826591e+51,1.97865963942,2.00511864469,1.74938266455e+51
min,-3.80590480151e+53,-9.35350430594e+53,-9.47518813796,-8.63066223398e+52,-7.94642139763e+52,-10.6009140029,7.38810015561,-2.71808357604e+52
15.9%,-1.37717935826e+44,-2.77509577216e+45,-6.30301036715,-3.12299130366e+43,-2.86659504045e+43,-5.44869565119,11.4726087354,-8.07114992417e+43
50%,7.40371275871e+22,-3.41917975521e+23,-4.87780484357,1.66314288043e+22,1.67114202424e+22,-3.39078306095,13.5943560789,-1.05637108857e+22
84.1%,5.86635009406e+44,6.51287154739e+44,-3.49150061782,1.3303132838e+44,1.22224787624e+44,-1.27172360174,15.7026970818,1.89154319036e+43
max,1.97761284335e+53,1.80039937009e+54,-0.683249438223,4.48460270443e+52,4.12140811837e+52,3.20385941744,19.9708478293,5.23637091389e+52
