,dvdt,k2,gamma_k,gamma_j,gamma_a,k1
count,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
mean,-3.72398195183,4.73465603831,6.6763488829e+39,0.498330802449,-1.3159594056e+39,-1.69293822039
std,3.04247693219,6.38307239596,2.52508958335e+41,1.0836193453,4.97720009243e+40,2.17815890768
min,-13.8096799776,-17.7838704045,-4.27876126904e+42,-4.08122644737,-1.55831571941e+42,-9.64874374022
15.9%,-6.85835163699,-1.85840137293,-4.87960499401e+34,-0.613907213831,-1.77870164584e+33,-3.93829292991
50%,-3.72351328892,4.63800219946,-6.99529797387e+18,0.47973576976,1.55919096084e+18,-1.73127474248
84.1%,-0.591996920197,11.340362995,9.06832012282e+33,1.62678970234,9.60868380813e+33,0.588834395858
max,6.93316264992,26.6274514465,7.90592236193e+42,4.2087536552,8.43455298848e+41,6.62143709317
