,gamma_k,gamma_j,gamma_a,k3,k2,k1,k4,tc4,dvdt,per4
count,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
mean,-6.51843527585e+55,-7.48177490793,4.50808916566e+56,-0.822940187616,0.589952636753,2.51541511431,20.3887303703,93.1723507653,0.0118458609685,250.894448579
std,8.89594871879e+57,1.20660236598,5.92528769302e+58,0.889171485614,0.839964196101,0.964419436126,1.18964907773,12.9771608874,0.00213180383551,1.56135070587
min,-3.57292862983e+59,-12.4152219753,-1.82514812092e+60,-5.05255255005,-2.77806287146,-1.37809214758,15.4749636865,30.0065226876,0.000275194606116,244.478159422
15.9%,-9.34798644829e+48,-8.67553690692,-7.09152094231e+49,-1.71698204241,-0.253179612067,1.53951170678,19.1791408141,80.1814987824,0.00971739170891,249.340006786
50%,-5.85084781938e+28,-7.54855610581,3.94818103817e+29,-0.823479730899,0.592486636973,2.51956359937,20.37979163,93.715629259,0.011992598997,250.822417157
84.1%,1.09443066429e+49,-6.27653435079,6.46099052004e+49,0.0688345317409,1.43213866923,3.49881656269,21.6018415673,106.067517133,0.0139526684498,252.462173463
max,2.7540002015e+59,-0.234447415816,2.34737829554e+60,2.91217134854,3.83505956946,6.43003962654,25.1099508199,149.139484642,0.0198410669387,258.235111173
