,curv,k2,gamma_k,gamma_j,gamma_a,k1
count,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
mean,0.000599372063024,2.80848362932,4.79630725292e+43,-6.38796074191,-4.29498146846e+42,4.37194274199
std,0.000224744497248,1.56822830009,3.88129276858e+45,2.17316302216,3.47560762426e+44,1.23465963417
min,-0.000188242036291,-3.59462649975,-1.5816891396e+47,-14.1153917504,-1.08488613553e+46,0.0549986198515
15.9%,0.00037319773476,1.20444223137,-1.68552571928e+37,-8.63171466878,-1.05377099867e+37,3.12309995516
50%,0.000599362187932,2.76971547209,1.25023029201e+22,-6.42767366628,-1.11933356145e+21,4.38830966833
84.1%,0.000827321339515,4.44181826537,1.17676160336e+38,-4.1585278335,1.50936553279e+36,5.63972969711
max,0.00139788874841,8.26690601595,1.21151789278e+47,1.74051585091,1.416365934e+46,8.77954483571
