,curv,dvdt,k2,gamma_k,gamma_j,gamma_a,k1
count,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
mean,-0.000469979835373,0.128627049041,4.75836210352,-2.66139565599e+27,1.57522151377,-5.50131498522e+28,7.00212152905
std,0.000276793573589,0.037927120385,1.24545214738,2.23370392381e+29,1.55100712577,4.62090237718e+30,1.19261195437
min,-0.00143609838036,0.00250179672333,0.0958324139132,-5.37440053923e+30,-4.06277828719,-1.11214702958e+32,2.47042067683
15.9%,-0.000750388229164,0.0902928359413,3.49238552645,-2.03922009065e+25,-0.0374771534077,-4.19712102391e+26,5.80468110942
50%,-0.000466872275015,0.128519799595,4.77731761295,8.34643248138e+13,1.55931543198,2.02211033923e+15,6.97173929024
84.1%,-0.000188020077241,0.167011856868,6.02725490864,3.67461706116e+25,3.15932614031,7.65818532117e+26,8.21876358632
max,0.000477003771654,0.270888163537,9.23747714954,2.89093838134e+30,7.00605309971,5.98356002102e+31,11.3877147684
